31/12/13;2,3621
02/01/14;2,3878
03/01/14;2,3765
06/01/14;2,3798
07/01/14;2,3724
08/01/14;2,3968
09/01/14;2,3906
10/01/14;2,3584
13/01/14;2,3574
14/01/14;2,35
15/01/14;2,3594
16/01/14;2,3614
17/01/14;2,3425
20/01/14;2,3433
21/01/14;2,3606
22/01/14;2,3733
23/01/14;2,3996
24/01/14;2,3975
27/01/14;2,4227
28/01/14;2,4215
29/01/14;2,4373
30/01/14;2,4094
31/01/14;2,4128
03/02/14;2,4403
04/02/14;2,4055
05/02/14;2,4024
06/02/14;2,3819
07/02/14;2,3792
10/02/14;2,4099
11/02/14;2,4004
12/02/14;2,426
13/02/14;2,3935
14/02/14;2,3889
17/02/14;2,3895
18/02/14;2,3958
19/02/14;2,3937
20/02/14;2,3704
21/02/14;2,3457
24/02/14;2,3413
25/02/14;2,3412
26/02/14;2,35
27/02/14;2,3192
28/02/14;2,3443
05/03/14;2,3188
06/03/14;2,3239
07/03/14;2,3409
10/03/14;2,3505
11/03/14;2,3637
12/03/14;2,3555
13/03/14;2,364
14/03/14;2,3467
17/03/14;2,349
18/03/14;2,334
19/03/14;2,3498
20/03/14;2,3279
21/03/14;2,3251
24/03/14;2,3229
25/03/14;2,3113
26/03/14;2,3029
27/03/14;2,2589
28/03/14;2,2612
31/03/14;2,2719
01/04/14;2,2619
02/04/14;2,2689
03/04/14;2,2796
04/04/14;2,2358
07/04/14;2,2189
08/04/14;2,2016
09/04/14;2,187
10/04/14;2,2068
11/04/14;2,2187
14/04/14;2,2141
15/04/14;2,2327
16/04/14;2,2434
17/04/14;2,2367
22/04/14;2,2377
23/04/14;2,2219
24/04/14;2,214
25/04/14;2,2436
28/04/14;2,2235
29/04/14;2,2361
30/04/14;2,2323
02/05/14;2,2214
05/05/14;2,2442
06/05/14;2,2294
07/05/14;2,2167
08/05/14;2,215
09/05/14;2,2128
12/05/14;2,2144
13/05/14;2,2149
14/05/14;2,2023
15/05/14;2,2196
16/05/14;2,2148
19/05/14;2,2069
20/05/14;2,216
21/05/14;2,2074
22/05/14;2,216
23/05/14;2,2233
26/05/14;2,2245
27/05/14;2,2377
28/05/14;2,232
29/05/14;2,2242
30/05/14;2,2415
02/06/14;2,2767
03/06/14;2,2806
04/06/14;2,2796
05/06/14;2,2621
06/06/14;2,2473
09/06/14;2,2293
10/06/14;2,2249
11/06/14;2,2337
12/06/14;2,2312
13/06/14;2,2243
16/06/14;2,235
17/06/14;2,2619
18/06/14;2,2276
20/06/14;2,23
23/06/14;2,2192
24/06/14;2,225
25/06/14;2,2078
26/06/14;2,1968
27/06/14;2,1938
30/06/14;2,2143
01/07/14;2,2019
02/07/14;2,2236
03/07/14;2,2106
04/07/14;2,2138
07/07/14;2,2249
08/07/14;2,2135
09/07/14;2,2128
10/07/14;2,2206
11/07/14;2,221
14/07/14;2,2122
15/07/14;2,2191
16/07/14;2,2235
17/07/14;2,2582
18/07/14;2,2262
21/07/14;2,2211
22/07/14;2,2128
23/07/14;2,2194
24/07/14;2,2217
25/07/14;2,2298
28/07/14;2,2224
